3.9 	6
3.9 	1
3.95	0
4.05	2
3.95	0
4.1 	0
4.15	2
4	2
4.1 	2
3.9 	1
4.05	0
4	3
3.95	3
4.1 	3
4	1
4	2
3.8 	4
4.15	2
3.95	2
4	0
4.05	1
4.05	4
4	1
4	2
3.95	0
4.1 	2
4.05	3
4.1 	4
4.05	1
3.9 	1
4.15	1
4.1 	4
4.05	1
4	1
4	2
3.95	2
3.95	0
3.85	2
3.95	2
3.95	2
4	0
4.1 	1
4	0
4.1 	0
4.1 	0
4	5
4.1	2
4.1	3
4	5
4.05	2
4.05	5
4	0
4	1
4	2
3.95	1
4	2
4.05	1
4.05	2
4.1	3
4	0
4.05	2
4	1
4	4
4.1	1
4.1	2
3.9	0
4	0
4	2
4	0
4	0
4.1	2
4	4
4	1
3.95	2
3.85	2
3.95	0
3.95	5
4	0
4.1	1
4	0
4	3
4	3
4.1	1
4.1	1
3.95	1
4	1
4	2
4.05	4
4.05	5
4.1	1
4	2
4	1
4.1	1
4	1
4.05	1
4.1	4
4.05	2
4	0
3.95	1
4.05	2
3.95	1
3.9 	2
3.9 	5
4	2
4	2
4.1	3
4	1
3.9 	1
3.95	2
3.85	0
4.05	1
4	1
4	3
4.15	0
4.05	0
4	1
4	3
4.05	0
4	1
4	4
3.9 	2
4	2
4.1 	1
4.05	0
4	2
4	1
4.05	2
4	0
4	0
3.95	2
4.05	2
4.1 	3
4	0
3.9 	1
3.95	1
4.05	3
4.05	2
3.95	1
3.9 	1
4	3
4	2
4	2
3.95	2
3.95	1
4	2
4.1 	5
4.1 	4
4	1
4.1 	3
4.05	0
3.95	1
4.05	4
4	0
4	2
4	2
4.1 	0
4	2
4	0
4.1 	2
3.95	1
4.1 	3
4	3
4	2
4	2
3.95	2
4	0
4.05	1
3.95	1
3.9 	0
4	2
3.95	3
4	4
4	1
3.9 	3
4	2
3.9 	0
3.9 	3
3.95	0
4.1 	1
4	0
3.9 	2
4	1
4.1 	0
4	0
3.95	0
4	0
4	2
4	3
3.95	3
4.05	0
4.05	0
4	3
4	1
3.85	1
3.95	1
4	3
4.1 	1
4	4
4	4
4	0
